content,score
"gabisa masuk! udah kirim kode otp,bo telp,email,tulisannya akun terdaftar,udh kirim pesan ke alfa nya gabisa juga!!!!!",1
plis alfagift adain fitur yg bisa di tambahin lagi di riwayat pesanan capek bolak balik cari barang lagi nya 😭,5
"PENGIRIMAN CEPAT, GRATIS ONGKIR, HEMATT. JOSSS BGT",5
apk sangat membantu,5
"kurir dan ownernya kurang ramah, orang sering pesan malah gak senang, orang bilang makasih udah di anter malah buang muka, pecat aj kurir yg kyak gini bikin orang gak kepengen pesen lagi",3
ga bisa bikin akun,1
"duh ini kesesimart ratingnya jelek banget anjir, mending ga ush beli ditoko inj, lelet bner bener lelet bejir, adminnya byk banget alesnya.",1
Ga bisa buka app krn ada aplikasi berbahaya lol hadehhh,1
suruh login lagi tp giliran login ga bisa. ameh,1
"aplikasi tolol, pengembalian sampe lebih dari 1x24jam gak balik"". toko yg ada fitur alfagift juga parah order jam9 pagi nyampe jam3 sore gak dikirim"" tolol sekali. semoga tutup sampe ngga ada cabang yg tersisa, pantesan kalah sama indomaret",1
Pesan dari tggl 1 April dan pengiriman maksimal tggl 4. Dan ini udh tggl 5 belum juga di kirim. saya ke alfamartnya langsung katanya barang ada di gudang. kalau mmg Barangnya gk ready jgn ditaruh di etalase.,1
Refund dana sangat buruk. Alasan cuti bersama lebaran tapi tokonya seluruh indonesia tetap buka tidak pernah tutup saat lebaran. Apakah backofficenya seburuk itu? Anak toko di suruh buka tidak ada libur tapi mereka semua libur? Padahal sudah menunggu selama 5 hari untuk Refund. Sampai sekarang tidak ada dananya masuk masih di proses mulu. Padahal dulu pengguna setia. Tidak akan pernah saya pakai dan rekomendasikan lagi ini aplikasi. Lapor ke DM IG tapi di jawab sama AI? Najis banget ini CSnya.,1
biar bintang yang berbicara aja,5
pelayanan buruk,5
apknya keluar sendiri ada solusinya ga,3
Adain lagi dong piring melamin karaktek albi,5
Bagus Sekali,4
mantap..top markotop karyawan/i nya responnya cepat terima kasih ...🤳👉👍😇🙏🙏🙏,5
"bagus aplikasinya yang nganterinnya jugaa ramah, pesanan tepat waktu semua. terus update stok juga real time juga jadi gakan mungkin yang dibayar tuh barangnya gaada. mantapp alfa, bakal pake alfa terus kedepannya😁",5
bagusssssss,5
operator nya ga tepat respon nya pesanan engga di kirim kirim,1
